Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2018,Feb,2399,2106,916,0.877865777,0.434947768,6051564.2,1512530,0.249940338,263658,CSP146,SUP166
2018,Mar,3924,3688,2101,0.939857288,0.569685466,12669746.55,3168830,0.250109976,549529,CSP069,SUP339
2017,Feb,634,480,213,0.757097792,0.44375,1768332,445300,0.251819229,78486,CSP161,SUP194
2017,May,311,467,216,1.501607717,0.462526767,2114603.51,533800,0.25243503,85968,CSP027,SUP120
2017,Jan,797,733,205,0.919698871,0.279672578,1567146.2,395950,0.252656708,75470,CSP013,SUP303
2016,Aug,1006,314,163,0.312127237,0.51910828,686304,173600,0.25294913,32200,CSP155,SUP329
2017,Mar,797,833,272,1.045169385,0.326530612,2070755.2,525660,0.253849417,90085,CSP013,SUP303
2017,Dec,1225,1445,512,1.179591837,0.35432526,14391629.15,3653520.24,0.253864257,554408,CSP032,SUP283
2016,Dec,1918,2656,1426,1.384775808,0.53689759,7227522.1,1840060,0.254590712,356523,CSP127,SUP137
2017,Nov,1024,1810,989,1.767578125,0.54640884,6945436.4,1774355,0.255470628,308060,CSP133,SUP101
2017,Feb,1306,1316,434,1.007656968,0.329787234,3578769.44,914900,0.255646533,155652,CSP027,SUP120
2017,Feb,1483,1610,665,1.085637222,0.413043478,4425816.7,1131700,0.255704218,189027,CSP009,SUP012
2016,Dec,1205,1397,445,1.1593361,0.318539728,1845680,472185,0.255832539,90735,CSP106,SUP084
2016,Oct,366,443,117,1.210382514,0.264108352,2210676.7,567247,0.256594282,101309,CSP165,SUP281
2018,Jan,1765,1048,505,0.593767705,0.481870229,7951669.92,2045370,0.257225214,295821,CSP041,SUP239
2017,Aug,598,471,259,0.787625418,0.549893843,2719378.3,702080,0.258176658,114620,CSP143,SUP141
2017,Nov,1654,2010,1019,1.215235792,0.506965174,3734798.05,964520,0.25825225,169983,CSP060,SUP018
2018,Mar,3501,2353,1290,0.672093688,0.548236294,9699350.6,2512690,0.25905755,423979,CSP087,SUP252
2017,Feb,1224,1831,576,1.495915033,0.314582196,4457391.45,1155400,0.259209902,193640,CSP153,SUP346
2017,Feb,415,1097,271,2.643373494,0.247037375,3402564.41,883100,0.259539539,152873,CSP085,SUP028
2017,Mar,1592,2869,1194,1.802135678,0.416172883,5973866.8,1552450,0.259873555,247450,CSP010,SUP018
2018,Jan,2399,2060,1182,0.858691121,0.573786408,7926856.06,2060400,0.259926506,345479,CSP146,SUP166
2017,Apr,1243,629,200,0.506033789,0.317965024,1650173.9,429100,0.2600332,73160,CSP078,SUP179
2017,Jun,2761,2525,1420,0.914523723,0.562376238,8801010.77,2293595,0.260605862,386734,CSP069,SUP137
2018,Apr,2594,3104,2111,1.196607556,0.680090206,12934197.8,3372010,0.260704997,571130,CSP058,SUP275
2018,Mar,2285,2093,1008,0.915973742,0.481605351,7778449.55,2028050,0.260726767,342929,CSP161,SUP215
2017,Jan,491,397,154,0.808553971,0.38790932,937012.89,244401,0.260829923,45854,CSP115,SUP221
2017,Nov,870,1196,590,1.374712644,0.493311037,5473251.17,1427600,0.260832174,231631,CSP115,SUP240
2017,Jan,842,245,33,0.290973872,0.134693878,485419.51,126945,0.261516065,23046,CSP040,SUP104
2017,Feb,852,924,396,1.084507042,0.428571429,2555412.22,668750,0.261699461,111910,CSP095,SUP250
2016,Nov,279,497,121,1.781362007,0.243460765,1343852.29,351860,0.261829371,67244,CSP025,SUP251
2018,Jan,991,1330,690,1.342078708,0.518796992,7936716.19,2078287.07,0.2618573,331460,CSP147,SUP313
2017,Jan,417,1580,433,3.788968825,0.274050633,9271571.24,2428210,0.261898435,442698,CSP121,SUP186
2018,Apr,1303,1084,454,0.831926324,0.418819188,2750251,721985,0.262516039,121578,CSP117,SUP196
2017,May,412,511,196,1.240291262,0.383561644,2409575.83,633250,0.262805591,100883,CSP042,SUP302
2017,May,842,266,98,0.315914489,0.368421053,1226090.54,322500,0.263031146,51907,CSP040,SUP104
2017,Mar,1512,2029,855,1.341931217,0.421389847,6155900.1,1621900,0.263470812,267164,CSP146,SUP166
2017,Mar,415,1100,389,2.65060241,0.353636364,4227404.98,1118740,0.264639893,188527,CSP085,SUP028
2016,Nov,366,444,96,1.213114754,0.216216216,2073570.03,551070,0.265759049,95357,CSP165,SUP281
2018,Mar,3339,3704,989,1.109314166,0.267008639,5788772.8,1538880,0.265838728,254991,CSP109,SUP259
2018,Mar,2594,3091,2313,1.191595991,0.748301521,13725766.55,3653385,0.266169834,605765,CSP058,SUP275
2017,Apr,605,949,274,1.568595041,0.288724974,1089846.7,290286.26,0.26635513,56440,CSP075,SUP217
2016,Dec,254,555,144,2.18503937,0.259459459,1414369.81,376900,0.266479104,69415,CSP169,SUP251
2018,Mar,870,1321,744,1.518390805,0.56320969,6250153.75,1667050,0.266721439,259980,CSP115,SUP221
2017,Nov,361,512,304,1.418282548,0.59375,1679241.55,449350,0.267591044,73868,CSP052,SUP248
2017,Jul,49,473,206,9.653061224,0.43551797,4671834.74,1251646.15,0.26791319,194883,CSP167,SUP313
2016,Oct,605,911,460,1.505785124,0.504939627,1715614.91,460690,0.268527627,93651,CSP075,SUP217
2018,Mar,3798,4087,1430,1.07609268,0.349889895,9961400.55,2683040,0.269343652,431230,CSP138,SUP288
2017,Aug,719,930,271,1.293463143,0.291397849,6333535.81,1709962.42,0.269985435,255851,CSP165,SUP281
2018,Apr,1540,1573,906,1.021428571,0.575969485,9684266.04,2621975,0.270745866,412694,CSP076,SUP350
2016,Nov,438,708,378,1.616438356,0.533898305,2399267,649900,0.270874396,123528,CSP133,SUP047
2018,Mar,5100,2202,1004,0.431764706,0.455949137,10623798.4,2877720,0.270874869,462518,CSP136,SUP292
2017,Dec,2245,2413,1598,1.074832962,0.662246167,8930502.75,2424950,0.271535665,395493,CSP106,SUP063
2017,Dec,3984,2448,707,0.614457831,0.28880719,6927720.55,1882360,0.271714193,293407,CSP011,SUP223
2017,Dec,2594,2767,2254,1.066692367,0.814600651,13153763.8,3596395,0.273411858,573470,CSP058,SUP275
2017,Jan,702,596,211,0.849002849,0.354026846,2369969.65,649240,0.273944436,101256,CSP041,SUP239
2017,May,833,864,457,1.037214886,0.528935185,2015097.15,553170,0.274512819,89038,CSP106,SUP063
2017,Nov,667,751,222,1.125937031,0.295605859,4708939.8,1292750,0.27453101,179607,CSP159,SUP096
2018,Mar,2434,1547,1091,0.635579293,0.705235941,6355144.53,1745150,0.274604298,261318,CSP097,SUP194
2017,Feb,922,607,353,0.65835141,0.5815486,2111032.9,582326,0.275848851,93920,CSP078,SUP179
2017,Nov,3296,4427,1485,1.343143204,0.335441608,11248774.38,3116382.54,0.277041963,489319,CSP153,SUP346
2017,May,1039,652,317,0.627526468,0.486196319,2590605.45,719600,0.277772904,110142,CSP138,SUP288
2018,Feb,2434,1495,1120,0.614215283,0.74916388,6616290.43,1847075,0.279170786,271518,CSP097,SUP194
2016,Oct,786,223,94,0.283715013,0.421524664,985413.8,275540,0.279618572,46640,CSP111,SUP268
2018,Jan,1169,1754,950,1.500427716,0.541619156,8346047.52,2335260,0.279804302,356875,CSP047,SUP216
2018,Feb,717,2127,861,2.966527197,0.404795487,9903686.96,2775850,0.280284505,419872,CSP154,SUP228
2017,Dec,1303,971,463,0.745203377,0.476828012,2468667.1,693800,0.281042349,109317,CSP117,SUP196
2018,Mar,2753,3325,1205,1.207773338,0.362406015,5884049.5,1655950,0.281430331,260792,CSP170,SUP006
2016,Nov,313,419,126,1.338658147,0.30071599,1816645.7,512500,0.282113348,92145,CSP156,SUP009
2018,Apr,719,703,291,0.977746871,0.413940256,4564813.06,1290028.86,0.28260278,182579,CSP165,SUP281
2017,Jul,366,361,110,0.986338798,0.304709141,2237633.79,632440,0.282637848,92364,CSP165,SUP281
2016,Nov,644,454,139,0.704968944,0.306167401,4619912.99,1307440,0.283001001,191283,CSP114,SUP051
2016,Oct,438,708,391,1.616438356,0.552259887,1897653,537200,0.283086528,98810,CSP133,SUP047
2017,Aug,1169,1502,1174,1.284858854,0.781624501,9197515.9,2615240,0.284341993,393809,CSP047,SUP117
2017,Jun,3564,3572,2611,1.002244669,0.730963046,11586544.34,3310700,0.285736619,511529,CSP137,SUP230
2016,Oct,1205,1276,694,1.058921162,0.543887147,2833557.4,814030,0.287281987,139410,CSP106,SUP084
2018,Apr,1024,1890,906,1.845703125,0.479365079,8304035.94,2389415,0.287741409,367032,CSP133,SUP047
2018,Mar,1024,1885,875,1.840820313,0.464190981,8500366.5,2447100,0.287881705,375684,CSP133,SUP200
2017,May,180,421,156,2.338888889,0.370546318,2227747.17,643200,0.288722171,94486,CSP166,SUP155
2017,Dec,870,1314,715,1.510344828,0.54414003,5592282.4,1618300,0.289380951,237685,CSP115,SUP240
2018,Feb,778,656,228,0.843187661,0.347560976,3449938.17,998455,0.289412433,143681,CSP065,SUP171
2017,Jul,438,503,209,1.148401826,0.415506958,3568111.79,1038550,0.291064311,132786,CSP159,SUP096
2018,Mar,2652,2318,959,0.874057315,0.413718723,15289348.02,4463370.05,0.291926774,654309,CSP043,SUP244
2016,Nov,786,423,177,0.538167939,0.418439716,3020421.36,882300,0.292111562,147651,CSP166,SUP155
2016,Nov,1278,816,567,0.638497653,0.694852941,3292557.7,963200,0.292538533,148210,CSP097,SUP011
2018,Mar,1540,1512,958,0.981818182,0.633597884,8566084.73,2508545,0.292846158,364589,CSP076,SUP350
2017,Feb,417,1596,483,3.827338129,0.302631579,8438531.99,2472450,0.292995275,365182,CSP121,SUP186
2017,Aug,1225,1502,555,1.226122449,0.369507324,8373617.78,2458630,0.29361622,333142,CSP032,SUP283
2017,Mar,1129,476,223,0.421612046,0.468487395,1625469.67,477300,0.293638207,71561,CSP062,SUP251
2017,May,469,863,339,1.840085288,0.392815759,2340480.2,688800,0.29429858,103808,CSP158,SUP045
2016,Nov,1165,1385,824,1.188841202,0.594945848,2814878.61,831535,0.295407055,138403,CSP137,SUP230
2017,Mar,469,798,394,1.701492537,0.493734336,2402410,710640,0.295802965,111547,CSP158,SUP045
2016,Nov,697,597,269,0.856527977,0.450586265,815736.08,242265,0.296989438,45213,CSP023,SUP251
2017,Feb,797,733,247,0.919698871,0.336971351,1537004,456950,0.297299161,66605,CSP013,SUP303
2018,Apr,667,687,198,1.029985007,0.288209607,2387094.3,710280,0.297550038,89696,CSP159,SUP096
2017,May,188,173,55,0.920212766,0.317919075,210253.2,62620,0.297831377,9257,CSP140,SUP041
2017,Aug,2245,2368,1547,1.054788419,0.653293919,7333530.1,2190485,0.298694485,324573,CSP106,SUP063
2016,Dec,1278,816,378,0.638497653,0.463235294,1934740.6,578650,0.299084022,86990,CSP097,SUP011
2018,Jan,3984,2414,872,0.605923695,0.361226181,6467876.07,1944342,0.300615222,276006,CSP011,SUP223
2017,May,238,117,31,0.491596639,0.264957265,505353.43,153400,0.303549933,20190,CSP165,SUP281
2017,Apr,254,430,298,1.692913386,0.693023256,2618988.42,796040,0.303949416,115520,CSP169,SUP135
2018,Mar,717,2171,896,3.027894003,0.412713035,11249270.18,3423110,0.304296185,466130,CSP154,SUP228
2016,Dec,331,116,31,0.350453172,0.267241379,484948.26,147750,0.304671678,21202,CSP138,SUP288
2017,Dec,73,115,65,1.575342466,0.565217391,1574394.83,479975,0.304863171,60426,CSP167,SUP313
2017,Jan,331,101,26,0.305135952,0.257425743,329176.31,100600,0.3056113,14575,CSP138,SUP288
2018,Jan,778,697,357,0.895886889,0.512195122,4759728.8,1454820,0.305651868,197162,CSP065,SUP171
2016,Sep,331,112,37,0.33836858,0.330357143,446933.26,136700,0.305862222,19697,CSP138,SUP288
2018,Mar,719,711,258,0.988873435,0.362869198,4272675.92,1312730,0.307238373,169744,CSP165,SUP281
2018,Jan,2558,574,289,0.224394058,0.503484321,2515231.2,774810,0.308047228,110700,CSP111,SUP110
2016,Nov,528,736,270,1.393939394,0.366847826,3244474.68,1000150,0.308262538,152660,CSP042,SUP251
2016,Dec,256,589,296,2.30078125,0.502546689,3935079.44,1216510,0.309144966,186824,CSP099,SUP332
2017,Jan,549,788,190,1.435336976,0.241116751,1535683.98,477000,0.310610781,76008,CSP032,SUP283
2017,Mar,922,624,451,0.676789588,0.72275641,2710620,844355,0.311498845,120300,CSP078,SUP179
2017,Jun,235,201,111,0.855319149,0.552238806,729650.55,227500,0.311793091,31763,CSP065,SUP171
2017,Apr,279,349,185,1.250896057,0.53008596,1351302,422500,0.312661418,60591,CSP025,SUP251
2016,Nov,1205,1367,669,1.134439834,0.489392831,2707512.9,848453.8,0.313370178,133180,CSP106,SUP298
2017,Jan,184,61,45,0.331521739,0.737704918,185379,58400,0.315030289,9150,CSP086,SUP126
2017,Jan,1346,1281,423,0.951708767,0.330210773,2413237.11,760285,0.315047782,118406,CSP064,SUP020
2018,Mar,1393,1009,266,0.724335966,0.263627354,1621196.6,510800,0.315075914,70005,CSP124,SUP185
2018,Mar,1169,1864,999,1.594525235,0.535944206,7560407.6,2383140,0.315213164,323282,CSP047,SUP216
2017,Dec,2285,2074,1043,0.907658643,0.50289296,7251630.9,2288975,0.315649684,319916,CSP161,SUP215
2017,Feb,491,403,202,0.820773931,0.501240695,931571.6,294300,0.315917746,41010,CSP115,SUP221
2016,Aug,786,584,249,0.743002545,0.426369863,670368.78,212100,0.316393016,33010,CSP060,SUP309
2017,Feb,378,742,179,1.962962963,0.241239892,1049292.68,333050,0.317404292,44558,CSP125,SUP311
2018,Mar,991,1491,780,1.504540868,0.523138833,6949835.57,2210916.95,0.318125073,288980,CSP147,SUP313
2017,Dec,1035,709,319,0.685024155,0.449929478,4195372.76,1339880,0.319370906,172850,CSP164,SUP033
2017,Jul,937,1162,664,1.240128068,0.571428571,4729904.05,1513080,0.319896553,203170,CSP047,SUP117
2018,Apr,1765,1068,539,0.60509915,0.504681648,7350048.7,2355050,0.320412843,274341,CSP041,SUP239
2017,Jan,786,223,71,0.283715013,0.31838565,621150.3,199124,0.320572976,29490,CSP111,SUP268
2017,Jul,786,224,115,0.284987277,0.513392857,1321393.1,423750,0.320684284,56540,CSP111,SUP268
2017,Jan,697,598,313,0.857962697,0.523411371,1019179.24,326900,0.320748292,54794,CSP023,SUP252
2016,Dec,1165,1386,633,1.189699571,0.456709957,1848465.76,594600.8,0.321672607,90878,CSP137,SUP230
2017,Feb,983,1715,691,1.744659207,0.402915452,2484345.06,800750,0.32231835,103194,CSP118,SUP225
2018,Feb,1765,1035,520,0.586402266,0.502415459,7237200.59,2335133.5,0.32265701,268759,CSP041,SUP239
2017,Jul,1683,1117,876,0.663695781,0.784243509,5333703.16,1726895,0.323770361,233057,CSP087,SUP252
2018,Apr,1382,1341,424,0.970332851,0.316181954,3332975.8,1088000,0.326435013,133859,CSP128,SUP115
2016,Aug,3669,2076,809,0.56582175,0.389691715,11380988.38,3717900,0.326676373,475336,CSP136,SUP057
2017,Aug,667,704,276,1.055472264,0.392045455,4528743.72,1481220,0.327070837,170189,CSP159,SUP096
2018,Apr,984,775,290,0.787601626,0.374193548,7583394.68,2486524.32,0.327890664,301395,CSP114,SUP051
2017,Nov,984,787,310,0.799796748,0.393900889,7922925.87,2606308,0.328957767,306109,CSP114,SUP051
2017,Jun,490,393,131,0.802040816,0.333333333,793768.56,262360,0.330524555,33769,CSP143,SUP141
2017,Sep,984,783,297,0.795731707,0.379310345,8543999.16,2831410.61,0.331391724,332535,CSP114,SUP051
2017,Nov,1982,1300,486,0.655903128,0.373846154,6030835.59,1999390,0.331527857,253745,CSP040,SUP104
2016,Nov,256,536,250,2.09375,0.46641791,3893567.82,1293750,0.332278789,186282,CSP099,SUP332
2018,Feb,5100,1884,925,0.369411765,0.490976645,8632224.27,2870130,0.332490203,374373,CSP136,SUP292
2017,Jun,1683,1118,788,0.664289958,0.704830054,4681691.22,1561797.22,0.333596802,204198,CSP087,SUP252
2017,Jul,1586,1304,867,0.822194199,0.664877301,8886534.27,2965860,0.333747658,378883,CSP043,SUP219
2018,Jan,1225,1224,533,0.999183673,0.435457516,13130912.3,4401560,0.335205955,513157,CSP032,SUP167
2017,Feb,702,588,253,0.837606838,0.430272109,2199245.11,740120,0.336533657,84674,CSP041,SUP239
2017,Feb,453,823,209,1.816777042,0.253948967,1745890.8,589170,0.337460968,74642,CSP162,SUP112
2016,Oct,438,421,197,0.961187215,0.467933492,2508421.46,849850,0.338798728,103351,CSP159,SUP096
2018,Jan,984,702,393,0.713414634,0.55982906,7759675.36,2632350.54,0.339234622,308953,CSP114,SUP051
2016,Nov,235,213,141,0.906382979,0.661971831,1050372.71,356990,0.339869835,50796,CSP065,SUP071
2017,Aug,2455,332,211,0.135234216,0.635542169,1794680.1,612100,0.341063569,76300,CSP111,SUP160
2016,Aug,1165,1387,647,1.19055794,0.466474405,1397155.61,477520,0.341780111,68688,CSP137,SUP230
2017,Nov,2285,2014,920,0.881400438,0.456802383,6699881.93,2294400,0.342453796,296056,CSP161,SUP215
2017,Jul,2245,2310,1493,1.028953229,0.646320346,5930873.31,2033735,0.342906499,262543,CSP106,SUP063
2017,Mar,62,515,149,8.306451613,0.289320388,625827.5,215000,0.343545146,38480,CSP049,SUP037
2017,Jan,1918,2636,1491,1.374348279,0.565629742,5459281.11,1877345,0.343881358,269216,CSP127,SUP137
2018,Feb,1982,1017,436,0.513118063,0.428711898,4731533.74,1631210,0.344752905,199854,CSP040,SUP054
2017,Sep,778,678,342,0.871465296,0.504424779,4412871.96,1530230,0.346765103,182575,CSP065,SUP171
2017,Apr,180,416,152,2.311111111,0.365384615,1796437.48,625020,0.347921933,76783,CSP166,SUP155
2018,Mar,1765,1057,513,0.598866856,0.485335856,6825649.35,2384520,0.349346982,254343,CSP041,SUP239
2017,Mar,786,225,67,0.286259542,0.297777778,640043.9,224420,0.350632199,27380,CSP111,SUP268
2016,Dec,697,597,367,0.856527977,0.614740369,1034667.24,363810,0.351620295,55959,CSP023,SUP251
2017,Apr,786,71,53,0.090330789,0.746478873,576766.18,203300,0.352482526,22301,CSP111,SUP268
2017,Dec,778,800,350,1.028277635,0.4375,4384729.11,1559740,0.355720949,177531,CSP065,SUP171
2016,Aug,654,1006,498,1.5382263,0.495029821,3085897.74,1106940,0.358709229,128514,CSP069,SUP137
2016,Dec,393,345,174,0.877862595,0.504347826,2208015.56,800963.09,0.362752466,106007,CSP126,SUP044
2017,May,40,456,405,11.4,0.888157895,1906881.6,693425,0.363643448,85380,CSP160,SUP008
2018,Mar,778,629,325,0.80848329,0.516693164,3159129.74,1155040,0.365619679,133414,CSP065,SUP171
2017,Nov,1540,1202,599,0.780519481,0.498336106,5590887.52,2044200,0.365630679,238247,CSP091,SUP065
2018,Feb,1169,1761,1063,1.50641574,0.603634299,7326362.78,2683450,0.366273154,312476,CSP047,SUP216
2017,Feb,1512,2032,777,1.343915344,0.38238189,3999376.3,1465890,0.366529651,173331,CSP146,SUP166
2018,Feb,1382,1415,487,1.023878437,0.344169611,3635794.79,1333550,0.366783627,146801,CSP128,SUP115
2017,May,207,141,69,0.68115942,0.489361702,568575.04,208600,0.366882092,23494,CSP146,SUP166
2016,Sep,1586,1554,507,0.979823455,0.326254826,5339336.33,1971556.17,0.369251167,249035,CSP043,SUP219
2017,Nov,1540,1419,789,0.921428571,0.55602537,5667137.93,2096655,0.369967173,240995,CSP076,SUP174
2016,Dec,438,475,190,1.084474886,0.4,2152853,799730,0.371474504,88165,CSP159,SUP096
2018,Jan,1035,709,460,0.685024155,0.648801128,5860557.5,2181570,0.372246156,240710,CSP164,SUP033
2017,Jun,49,481,241,9.816326531,0.501039501,5089486.01,1908972.95,0.375081677,211253,CSP167,SUP313
2017,Mar,229,158,86,0.689956332,0.544303797,607112.1,227905,0.375391958,26869,CSP061,SUP256
2016,Dec,786,431,205,0.548346056,0.475638051,2749017.44,1032850,0.375716059,134319,CSP166,SUP155
2018,Feb,1541,1367,419,0.887086308,0.306510607,4103106.45,1543485,0.37617474,171285,CSP162,SUP112
2018,Jan,667,739,255,1.107946027,0.345060893,2981577.92,1132750,0.379916283,111344,CSP159,SUP096
2016,Dec,605,946,543,1.563636364,0.573995772,1484070.6,564941.86,0.380670475,82490,CSP075,SUP217
2017,Mar,368,465,208,1.263586957,0.447311828,1459315.6,556400,0.381274619,59630,CSP128,SUP115
2017,Jun,644,321,74,0.498447205,0.230529595,2513411.82,958500,0.381354139,91789,CSP114,SUP051
2017,Jan,1320,373,239,0.282575758,0.64075067,1479747.4,564950,0.381788135,66180,CSP129,SUP272
2017,Feb,1650,405,284,0.245454545,0.701234568,985268.07,376930,0.382565935,44031,CSP149,SUP285
2017,Mar,1918,2504,1676,1.30552659,0.669329073,5636134.74,2156340,0.382591989,250072,CSP127,SUP137
2017,Jan,118,139,71,1.177966102,0.510791367,527953.64,202200,0.382988173,24339,CSP076,SUP174
2017,Apr,184,52,39,0.282608696,0.75,163800,62900,0.384004884,7280,CSP086,SUP126
2017,Mar,842,246,129,0.29216152,0.524390244,585031.95,225400,0.385278103,24829,CSP040,SUP104
2017,Apr,517,460,614,0.889748549,1.334782609,3637025.9,1402850,0.385713503,151220,CSP043,SUP219
2017,Mar,549,837,314,1.524590164,0.375149343,2167133.1,837200,0.386316835,95668,CSP032,SUP283
2017,Feb,229,161,76,0.703056769,0.472049689,394488.9,152900,0.38759012,17457,CSP061,SUP256
2017,Jan,254,586,249,2.307086614,0.424914676,1494015.1,580100,0.388282555,73300,CSP169,SUP135
2017,Aug,984,730,292,0.741869919,0.4,6582255.51,2556940,0.388459548,262283,CSP114,SUP051
2017,Feb,1346,1081,473,0.803120357,0.437557817,2246602.69,875430,0.389668366,98677,CSP064,SUP020
2016,Sep,1205,1274,494,1.057261411,0.387755102,1301178.8,508225.55,0.390588557,64030,CSP106,SUP084
2017,Apr,40,508,484,12.7,0.952755906,2063844,807778.2,0.391394989,94170,CSP160,SUP008
2016,Nov,438,419,190,0.956621005,0.453460621,2165172.13,850870,0.392980303,88518,CSP159,SUP096
2017,May,184,60,32,0.326086957,0.533333333,141675,55800,0.393859185,6420,CSP086,SUP126
2017,Dec,667,737,291,1.104947526,0.394843962,3410680.14,1353350,0.39679769,128979,CSP159,SUP096
2016,Dec,235,213,134,0.906382979,0.629107981,750441.23,298400,0.397632737,36233,CSP065,SUP071
2017,Aug,2594,2515,2123,0.969545104,0.844135189,8098971.3,3236110,0.399570499,352400,CSP058,SUP275
2018,Apr,2399,2032,1083,0.847019591,0.532972441,4408603.1,1763520,0.400017865,192423,CSP146,SUP166
2017,Jan,366,368,92,1.005464481,0.25,1052590.87,422010,0.400925005,48261,CSP165,SUP281
2017,Apr,407,501,323,1.230958231,0.644710579,1030737.2,413850,0.401508745,46274,CSP023,SUP252
2017,Mar,366,391,121,1.068306011,0.309462916,1194297.82,482445,0.40395703,49318,CSP165,SUP281
2018,Mar,1303,1073,476,0.823484267,0.44361603,1728449.2,700300,0.405160881,76338,CSP117,SUP196
2017,Mar,438,769,468,1.755707763,0.608582575,1534332.7,623600,0.406430757,74660,CSP133,SUP047
2018,Apr,1541,1384,456,0.898118105,0.329479769,3154542.9,1290000,0.408934049,131440,CSP162,SUP112
2018,Apr,717,1688,893,2.354253835,0.529028436,9709176.96,3971600,0.4090563,396322,CSP154,SUP228
2017,Jan,235,213,80,0.906382979,0.375586854,462338.82,189920,0.410780994,22292,CSP065,SUP071
2017,Mar,786,649,393,0.825699746,0.605546995,1169672.6,485360,0.414953723,52050,CSP060,SUP076
2017,Mar,1205,1395,650,1.157676349,0.465949821,1978880.91,825080,0.416942725,87592,CSP106,SUP063
2017,Jul,2594,2505,2101,0.965690054,0.838722555,7741863.06,3256625,0.420651331,336695,CSP058,SUP275
2017,Jul,2761,2481,1541,0.898587468,0.621120516,5781606.69,2443946,0.422710525,253537,CSP069,SUP137
2017,Feb,54,24,6,0.444444444,0.25,66405.95,28100,0.423154853,2905,CSP087,SUP252
2018,Apr,1982,893,572,0.450554995,0.640537514,4104756.94,1741312.02,0.424218059,172614,CSP040,SUP054
2017,Jun,2594,2098,1916,0.808789514,0.913250715,6695296.96,2855400,0.426478469,290668,CSP058,SUP275
2018,Mar,984,767,405,0.779471545,0.528031291,7143003.31,3047773.32,0.426679533,283790,CSP114,SUP051
2016,Oct,1278,816,869,0.638497653,1.06495098,3438722.6,1473330,0.428452705,155040,CSP097,SUP011
2018,Feb,2558,596,347,0.232994527,0.582214765,2079751,902550,0.43397022,92854,CSP111,SUP110
2017,Nov,778,739,309,0.949871465,0.418132612,3539008.95,1537860,0.434545383,135794,CSP065,SUP171
2018,Feb,667,738,268,1.106446777,0.363143631,2266722.18,985825,0.434912143,84849,CSP159,SUP096
2017,Nov,1765,1035,540,0.586402266,0.52173913,5662036.25,2464925,0.435342497,210663,CSP041,SUP239
2017,May,890,477,294,0.535955056,0.616352201,1967551.99,857540,0.435841088,86355,CSP062,SUP251
2017,Jul,198,178,104,0.898989899,0.584269663,367464.45,160400,0.43650481,16018,CSP039,SUP142
2016,Dec,438,709,362,1.618721461,0.510578279,1314418.6,579100,0.440575019,70070,CSP133,SUP047
2017,Apr,702,306,228,0.435897436,0.745098039,1807490.89,799770,0.442475259,67064,CSP041,SUP239
2017,Feb,368,454,188,1.233695652,0.414096916,1132498.7,501200,0.442561214,46150,CSP128,SUP115
2017,Feb,697,562,405,0.806312769,0.720640569,1004491.55,449820,0.447808645,48319,CSP023,SUP252
2017,Feb,366,381,113,1.040983607,0.296587927,1043751.58,471580,0.45181249,43062,CSP165,SUP281
2017,Mar,1650,381,452,0.230909091,1.186351706,1503115.95,689880,0.458966589,66405,CSP149,SUP285
2017,Mar,1165,1410,935,1.210300429,0.663120567,2104228.87,967350,0.459717103,93125,CSP137,SUP230
2016,Dec,644,284,119,0.440993789,0.419014085,2557282.05,1180900.01,0.461779337,91965,CSP114,SUP051
2017,Jul,490,372,160,0.759183673,0.430107527,722122.72,333690,0.462095972,30836,CSP143,SUP141
2017,Dec,1540,1203,670,0.781168831,0.556940981,4255726.01,1968520,0.462557974,180174,CSP091,SUP065
2017,Feb,1165,1410,715,1.210300429,0.507092199,1090547.32,505080,0.463143589,48255,CSP137,SUP230
2017,Aug,778,724,412,0.93059126,0.569060773,3791836.12,1756695,0.463283471,156286,CSP065,SUP171
2016,Aug,54,24,17,0.444444444,0.708333333,69489.6,32300,0.464817757,3380,CSP087,SUP252
2017,May,654,614,281,0.93883792,0.457654723,1075791.79,504850,0.469282258,47377,CSP069,SUP137
2017,Feb,331,102,33,0.3081571,0.323529412,306939.56,144650,0.471265418,12216,CSP138,SUP288
2017,Mar,697,559,410,0.802008608,0.733452594,1055019.5,498870,0.472853819,50639,CSP023,SUP252
2017,Jan,786,589,221,0.749363868,0.375212224,612802.9,291250,0.475275166,31430,CSP060,SUP309
2018,Mar,1982,1011,616,0.510090817,0.609297725,3993249.5,1906850,0.477518372,167825,CSP040,SUP054
2017,Mar,702,338,289,0.481481481,0.855029586,2109831.81,1010200,0.478805939,79042,CSP041,SUP239
2017,Jun,937,1176,820,1.25506937,0.697278912,3789234.96,1814920,0.478967396,162593,CSP047,SUP117
2018,Mar,667,687,204,1.029985007,0.296943231,1991874.35,954120,0.479006118,74424,CSP159,SUP096
2016,Oct,786,388,219,0.493638677,0.56443299,2621562.96,1257220,0.479568875,129396,CSP166,SUP155
2018,Feb,306,233,134,0.761437908,0.575107296,4506289.79,2207566.56,0.489885618,157488,CSP067,SUP222
2018,Apr,1035,704,414,0.680193237,0.588068182,3757444.25,1841220,0.490019246,156330,CSP164,SUP033
2018,Jan,1540,1167,724,0.757792208,0.620394173,4727346.83,2325010.01,0.491821331,202274,CSP091,SUP065
