Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2017,Jan,368,454,104,1.233695652,0.22907489,1685690.04,331700,0.196774017,76889,CSP128,SUP115
2018,Apr,3564,4408,3033,1.23681257,0.688067151,19894869.2,3925110,0.197292576,880175,CSP137,SUP138
2017,Dec,1040,781,288,0.750961538,0.368758003,2901262.9,573700,0.197741473,130497,CSP050,SUP052
2017,Jan,62,515,80,8.306451613,0.155339806,622553,123300,0.198055427,40950,CSP049,SUP037
2017,Mar,634,547,319,0.862776025,0.583180987,3682304.04,730000,0.198245444,163334,CSP161,SUP194
2017,Dec,3798,3704,1298,0.975250132,0.350431965,13072012.06,2592910,0.198355845,567007,CSP138,SUP288
2016,Aug,1981,2584,986,1.304391721,0.381578947,10003492.35,1995250,0.199455343,478667,CSP007,SUP266
2016,Aug,1335,914,322,0.684644195,0.352297593,1371564,273615,0.199491238,73180,CSP094,SUP212
2017,May,1599,897,295,0.56097561,0.328874025,1451569,290100,0.199852711,71649,CSP094,SUP212
2017,Jul,1422,1884,973,1.324894515,0.516454352,8319488.6,1668710,0.200578435,365272,CSP095,SUP250
2018,Jan,5100,2423,956,0.475098039,0.394552208,13604633.92,2733300,0.200909485,595078,CSP136,SUP292
2018,Mar,3564,4362,3302,1.223905724,0.756992205,21571507.2,4337750,0.201087015,953965,CSP137,SUP138
2018,Mar,1694,2912,1125,1.719008264,0.386332418,11722973.86,2358412.11,0.201178655,502001,CSP027,SUP064
2017,Aug,2285,1808,1033,0.791247265,0.571349558,11569932.25,2331310,0.201497291,511145,CSP161,SUP194
2018,Mar,1654,2171,933,1.312575574,0.429755873,5846927.64,1180105,0.201833351,264001,CSP060,SUP018
2017,Feb,1129,720,171,0.637732507,0.2375,1753475.96,354299.65,0.202055607,77214,CSP062,SUP251
2016,Oct,955,557,346,0.583246073,0.621184919,570388.04,115470,0.202441131,28142,CSP072,SUP059
2017,May,405,770,314,1.901234568,0.407792208,3231157.22,654400,0.202528059,135988,CSP147,SUP216
2016,Oct,368,460,144,1.25,0.313043478,2252911.13,456420,0.202591214,101681,CSP128,SUP115
2017,Jan,1129,779,204,0.689991143,0.261874198,1843377.34,374450,0.203132583,90756,CSP062,NULL
2017,Feb,313,420,125,1.341853035,0.297619048,1635519.5,332800,0.203482747,75341,CSP156,SUP009
2017,Jun,79,62,27,0.784810127,0.435483871,666166.98,136000,0.204153019,25809,CSP091,SUP065
2018,Jan,1541,1387,335,0.900064893,0.241528479,5477181.2,1118610,0.204230965,229450,CSP162,SUP112
2017,Jul,508,779,382,1.533464567,0.490372272,3954906.3,808250,0.204366409,166790,CSP147,SUP216
2016,Dec,184,61,28,0.331521739,0.459016393,228634.1,46750,0.204475185,11285,CSP086,SUP251
2017,Nov,719,863,253,1.200278164,0.293163384,6693052.82,1368830,0.204515045,271309,CSP165,SUP281
2017,Feb,1883,2108,610,1.119490175,0.289373814,4337341.7,887750,0.204676058,193489,CSP109,SUP259
2016,Aug,943,1886,654,2,0.346765642,4678001.63,961084.45,0.205447652,226328,CSP028,SUP326
2018,Feb,2285,2133,692,0.933479212,0.324425692,7276534.85,1498700,0.20596342,320445,CSP161,SUP215
2017,Jan,229,162,41,0.707423581,0.25308642,411464.58,84800,0.206093074,20223,CSP061,SUP256
2016,Aug,1483,1335,660,0.900202293,0.494382022,4901259.62,1010340,0.206138846,230917,CSP009,SUP012
2018,Feb,2594,2769,2072,1.067463377,0.748284579,15629568.45,3231985,0.20678658,690330,CSP058,SUP275
2017,Mar,313,433,143,1.383386581,0.330254042,2160435.6,447100,0.206949006,98945,CSP156,SUP009
2017,Mar,1883,2207,868,1.172065852,0.393294064,6015596.5,1245150,0.206986955,267664,CSP109,SUP259
2016,Dec,1346,1249,342,0.927934621,0.273819055,2770560.28,576100,0.207936281,135024,CSP064,SUP020
2017,Feb,842,246,33,0.29216152,0.134146341,352939.75,73600,0.208534176,15031,CSP040,SUP104
2018,Apr,1169,1789,891,1.530367836,0.4980436,9717480.8,2026450,0.208536558,416258,CSP047,SUP216
2017,Nov,2399,2339,1068,0.974989579,0.456605387,9806449.5,2050400,0.209086887,425141,CSP146,SUP166
